textnumber,logstorytext1,logstorytext2,logstorytext3,logstorytext4,logstorytext5,logstorytext6,lengthcount,mainstory,26以上判定(以上で1),一行残り字数,二行残り字数,三行残り字数,四行残り字数,五行残り字数,六行残り字数
359,「もっといいカンジにできた ,ら人気でると思いません？,0,0,0,0,50,「もっといいカンジにできたら人気でると思いません？,1,24,0,0,0,0,0
360,この顔じゃモチベあがらない ,っすよ〜」,0,0,0,0,35,この顔じゃモチベあがらないっすよ〜」,1,9,0,0,0,0,0
361,   ,0,0,0,0,0,3,   ,0,0,0,0,0,0,0
362,「お、おお！すげ〜！めちゃ ,くちゃいいカンジ！これならメ,イドの俺も大人気っすね！」,0,0,0,79,「お、おお！すげ〜！めちゃくちゃいいカンジ！これならメイドの俺も大人気っすね！」,1,53,25,0,0,0,0
363,琉絆空の言った通りお店は大 ,盛況！普段からメイクの練習し,ててよかった！,0,0,0,68,琉絆空の言った通りお店は大盛況！普段からメイクの練習しててよかった！,1,42,14,0,0,0,0
364,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
365,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
366,「琉絆空くん、織路原賞おめ ,でとう！」,0,0,0,0,36,「琉絆空くん、織路原賞おめでとう！」,1,10,0,0,0,0,0
367,私のメイクの効果もあってか ,琉絆空くんが注目を浴びて織路,原賞とれたみたい。,0,0,0,72,私のメイクの効果もあってか琉絆空くんが注目を浴びて織路原賞とれたみたい。,1,46,18,0,0,0,0
368,「先輩のおかげですね！マジ ,感謝です！」,0,0,0,0,38,「先輩のおかげですね！マジ感謝です！」,1,12,0,0,0,0,0
369,琉絆空くん、とても嬉しそう ,！トロフィーに書かれている呪,文も無事チェックできてよかっ, た。,0,0,86,琉絆空くん、とても嬉しそう！トロフィーに書かれている呪文も無事チェックできてよかった。,1,60,32,4,0,0,0
370,あとはクリスマスまでに告白 ,しないと……！,0,0,0,0,40,あとはクリスマスまでに告白しないと……！,1,14,0,0,0,0,0
371,「おお！ありがとうございま ,す！」,0,0,0,0,32,「おお！ありがとうございます！」,1,6,0,0,0,0,0
372,男の子の、っていうかおじさ ,んの顔にメイクするの新鮮……,難しかったな。,0,0,0,68,男の子の、っていうかおじさんの顔にメイクするの新鮮……難しかったな。,1,42,14,0,0,0,0
373,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
374,                ,0,0,0,0,0,16,                ,0,0,0,0,0,0,0
375,すっかりトロフィーのこと忘 ,れて遊んでた……,0,0,0,0,42,すっかりトロフィーのこと忘れて遊んでた……,1,16,0,0,0,0,0
376,結局私はトロフィーは手に入 ,らなかったし呪いを解く呪文も,わからないままだった。,0,0,0,76,結局私はトロフィーは手に入らなかったし呪いを解く呪文もわからないままだった。,1,50,22,0,0,0,0
377,このままずっとおじさんのOG ,☆3と残りの学園生活をすごす , とになるんだ……,0,0,0,71,このままずっとおじさんのOG☆3と残りの学園生活をすごすことになるんだ……,1,45,17,0,0,0,0
378,[END4 おじさんたちともう1年, ],0,0,0,0,28,[END4 おじさんたちともう1年],1,2,0,0,0,0,0
